gene,control_mean,treatment_mean,log2FC,p_value,neg_log10_p,regulation
b2871,-0.2948458989999999,-0.365488824,-0.07064292500000008,0.8120127926093639,0.0904371287441789,ns
b1013,-0.1305081509999999,-0.0982519484999993,0.03225620250000061,0.8121939411791496,0.09034025459269046,ns
b1859,0.31823560149999963,0.26086226349999947,-0.05737333800000016,0.8122240781444895,0.0903241401226535,ns
b4105,-0.06135043599999998,-0.1689253964999999,-0.10757496049999993,0.8127424643906227,0.09004704851746122,ns
b2532,-0.03374151800000105,-0.02191577099999975,0.011825747000001302,0.8129231588438605,0.08995050393516425,ns
b1409,0.237631816,0.2071956735,-0.030436142499999985,0.8144794839046023,0.0891198507529411,ns
b4160,0.11694951249999885,0.1289403609999988,0.011990848499999957,0.8148597079008886,0.08891715608101237,ns
b1928,-0.41940212950000033,-0.3496493219999999,0.06975280750000046,0.8152168491653509,0.08872685277013369,ns
b1937,-0.6891167830000005,-0.5922246445000003,0.09689213850000011,0.8165290124618225,0.0880283795394061,ns
b2362,-0.34115234299999986,-0.22320968149999998,0.11794266149999988,0.8169452928467436,0.08780702524271224,ns
b2577,0.051836111500000046,0.020204745000000253,-0.03163136649999979,0.817145512617366,0.08770059989389606,ns
b3347,0.2622108265000013,0.27557626500000243,0.013365438500001103,0.8172606456271807,0.08763941359613536,ns
b2760,1.242292832,1.2923671445,0.05007431250000005,0.8176370765649855,0.08743942324838928,ns
b1862,-0.0837567980000001,-0.045092527000000104,0.038664271,0.8181206202963254,0.08718266103868101,ns
b4185,-0.13303529950000004,-0.04099082650000002,0.09204447300000002,0.8202191768306277,0.08607008106857576,ns
b4482,-0.808541008,-0.8911439624999997,-0.08260295449999977,0.8206295090141068,0.08585287029431682,ns
b3805,-0.1918582475000003,-0.1603804240000004,0.03147782349999989,0.8209450554825499,0.08568590853128687,ns
b3577,0.3344419675,0.36823322449999996,0.03379125699999996,0.8220423671637729,0.0851057988209242,ns
b2103,0.09014339749999985,0.057893677499999595,-0.03224972000000025,0.8224774851295044,0.08487598178874876,ns
b1269,0.22172575300000075,0.24316702049999955,0.021441267499998806,0.8226608923714469,0.08477914768100916,ns
b1877,0.38483054800000027,0.3417007795000002,-0.043129768500000054,0.8228890831985167,0.08465869917549565,ns
b4402,0.6693402690000001,0.7475684380000001,0.07822816899999996,0.824605040470538,0.0837540148634859,ns
b2482,-0.0804002239999998,-0.039394729499999795,0.0410054945,0.8247317520048076,0.0836872848657242,ns
b0012,-0.0646677255,0.027296567999999993,0.09196429349999999,0.8254165432362939,0.08332683111617917,ns
b4249,-0.10343161550000016,-0.03269579050000006,0.0707358250000001,0.8254778167046334,0.08329459316098972,ns
b4184,0.021890756999999955,-0.1569973345,-0.17888809149999996,0.8256396334959355,0.08320946761191597,ns
b3323,0.4237594039999999,0.39721918649999993,-0.026540217499999963,0.8267595289340716,0.08262079086283897,ns
b2823,-0.5718638839999997,-0.4944716739999997,0.07739220999999996,0.8268287582683183,0.08258442640851932,ns
b2446,0.2963021504999994,0.3348466809999999,0.03854453050000051,0.827054513336952,0.08246586401314168,ns
b1121,-0.7712927169999997,-0.8222777719999997,-0.05098505500000006,0.8277874942855359,0.0820811389449341,ns
b3554,-0.03174124450000004,-0.0099450505000007,0.021796193999999346,0.8284535962091227,0.08173181250078773,ns
b3809,0.8953333170000013,0.9058617529999999,0.010528435999998642,0.8289739322166672,0.08145912599068629,ns
b3608,-0.23265558650000034,-0.2480407980000003,-0.015385211499999968,0.8289908409975625,0.08145026767191205,ns
b2614,-0.1273456729999988,-0.1453751599999995,-0.018029487000000705,0.8292094774003976,0.08133574280686261,ns
b1387,0.24349709850000012,0.2668414545,0.0233443559999999,0.829489686588995,0.08118900938083086,ns
b3804,-0.1657043054999989,-0.1829983224999996,-0.01729401700000069,0.8296976565120774,0.08108013657530341,ns
b3710,-0.5064960069999997,-0.5689513729999998,-0.06245536600000001,0.8297144404722605,0.08107135131779503,ns
b2825,-0.4353514009999999,-0.456029394,-0.02067799300000006,0.829800064784038,0.08102653560086463,ns
b1840,-0.14975549750000056,-0.16991030450000055,-0.020154806999999997,0.830107435164567,0.08086569620265224,ns
b4386,0.8736395149999998,0.8577128189999996,-0.015926696000000184,0.8301188983980534,0.0808596989251156,ns
b3842,0.2931827334999992,0.26840418449999914,-0.02477854900000004,0.8303291505329153,0.08074971494515824,ns
b2689,0.022911556500000454,-0.005517634499999403,-0.028429190999999857,0.8305072100383285,0.08065659287391332,ns
b2017,-0.06413601299999926,-0.1198072234999992,-0.05567121049999994,0.8309791438891535,0.08040987610460106,ns
b4483,-0.8444664280000005,-0.8192142745000002,0.02525215350000032,0.8314042474055754,0.08018776113832947,ns
b2057,0.01350203550000005,-0.040761289000000006,-0.05426332450000006,0.8321063335076079,0.07982117238135186,ns
b4080,-0.323650518,-0.258508778,0.06514174,0.8331618892146413,0.07927060392151246,ns
b2985,0.3746618325,0.425466205,0.05080437249999997,0.8333660964774957,0.07916417176000361,ns
b4022,-0.2202102245000006,-0.2366179350000008,-0.0164077105000002,0.8335785005593261,0.07905349511083855,ns
b3126,0.7278902195000001,0.7769182790000002,0.04902805950000011,0.8336929245445632,0.07899388429436843,ns
b3077,0.6948047964999999,0.5738044079999999,-0.12100038850000006,0.8341369113404559,0.07876266044179049,ns
b3014,-0.6323818354999996,-0.9247445655,-0.29236273000000035,0.8347694345017125,0.07843346122405459,ns
b3086,-0.21691605700000008,-0.33198077099999995,-0.11506471399999987,0.8349945979152426,0.07831633422081716,ns
b0853,0.16679732150000026,0.1955950995000006,0.02879777800000033,0.8354042053908034,0.078103342844631,ns
b2200,-0.12913313050000005,-0.11053138000000025,0.018601750499999806,0.8354298500526093,0.07809001137694016,ns
b2725,0.005791658499999949,-0.10725569950000002,-0.11304735799999997,0.8355966264566299,0.07800332205964146,ns
b4345,0.6116208714999996,0.5677619814999995,-0.043858890000000095,0.8366628512358754,0.07744951374577609,ns
b1338,0.7364214354999999,0.7052728305,-0.03114860499999994,0.837378597320807,0.0770781434976393,ns
b3921,0.4041855124999998,0.42707835800000016,0.02289284550000037,0.8379657954877526,0.07677370826005417,ns
b0615,-0.009953360500000001,0.058635743500000045,0.06858910400000004,0.8380501914914527,0.07672997034941688,ns
b2140,-0.3822490604999995,-0.44169917400000025,-0.059450113500000734,0.8381490776054018,0.07667872859735725,ns
b3393,0.44622753550000005,0.4892253335000001,0.04299779800000003,0.8381776554558535,0.07666392097959125,ns
b1171,-0.48873154250000006,-0.5215673155,-0.03283577299999996,0.839179176826472,0.07614530115095963,ns
b0859,0.3103547624999998,0.28153525799999946,-0.02881950450000037,0.8392423812598147,0.07611259263799607,ns
b3946,-0.5432830250000001,-0.6697790725000001,-0.1264960475,0.8401311440969103,0.07565291547138782,ns
b1175,0.3067170674999993,0.29646872949999903,-0.010248338000000246,0.8401327467722416,0.07565208699074683,ns
b0449,-0.7919442835000006,-0.7328160255000002,0.05912825800000032,0.8402385003996421,0.07559742262183522,ns
b0475,-0.33290668650000077,-0.3414547570000006,-0.008548070499999838,0.8408589914208009,0.0752768274866831,ns
b3920,0.2166197765000008,0.23046721650000096,0.013847440000000155,0.8417774985455673,0.07480268750710348,ns
b2733,-0.3774231479999992,-0.39798485499999936,-0.02056170700000015,0.8434735579970392,0.07392852753362786,ns
b0168,-0.1754808074999996,-0.1924078484999993,-0.0169270409999997,0.8439817670284576,0.07366693555972696,ns
b4028,-0.23840259249999973,-0.19566803899999985,0.04273455349999988,0.8448940804574159,0.0731977326552132,ns
b2492,-0.19542282350000004,-0.13550666899999994,0.059916154500000096,0.8450790111518736,0.07310268453775282,ns
b0766,-0.4577288725000006,-0.48816441700000013,-0.030435544499999523,0.8451766657856412,0.07305250175274172,ns
b0518,0.1621197625,0.11477213800000008,-0.04734762449999991,0.8451978684626379,0.07304160688248056,ns
b2478,0.1595243055000006,0.1513889840000004,-0.008135321500000209,0.8454889632266569,0.07289205718634044,ns
b0907,-0.2844940899999999,-0.27054839999999913,0.013945690000000788,0.845838978640983,0.072712305215797,ns
b2604,-0.3430139099999996,-0.38244816999999953,-0.03943425999999994,0.8461271549585234,0.07256436681059152,ns
b2339,0.30288309337749264,0.15403458714832685,-0.1488485062291658,0.8473295355856674,0.07194765501373189,ns
b0988,-0.380180873,-0.4592785345,-0.07909766150000003,0.8474517469388817,0.07188502071753546,ns
b3411,-0.20316358450000016,-0.2414905450000002,-0.038326960500000035,0.8476050871599686,0.07180644540287476,ns
b3495,-0.17281890999999924,-0.18658730499999976,-0.013768395000000516,0.8477084903058427,0.07175346710279251,ns
b2270,0.5536696039999999,0.5907927180000001,0.037123114000000235,0.8481141267721526,0.07154570282301134,ns
